000001,1461756862000
000001,1461756866000
000002,1461756864000
000001,1461756863000
000001,1461756872000
000001,1461756865000
000002,1461756876000
000002,1461756862000
000002,1461756876000
000001,1461756874000
000002,1461756884000

000001,1461756875000
000002,1461756886000
000001,1461756877000
000002,1461756888000
000001,1461756879000
000002,1461756880000
000001,1461756882000
000002,1461756884000



000001,1461756862000
000001,1461756863000
000001,1461756864000
000001,1461756865000
000001,1461756865000
000001,1461756864000
000001,1461756866000
000001,1461756862000
000001,1461756866000
000001,1461756858000
000001,1461756855000
000002,1461756862000
000002,1461756863000
000002,1461756864000
000002,1461756865000
000002,1461756865000
000002,1461756864000
000002,1461756866000
000002,1461756862000
000002,1461756866000
000002,1461756858000
000002,1461756855000


000003,1461756875000
000003,1461756886000
000003,1461756877000
000003,1461756888000
000003,1461756879000
000003,1461756880000
000003,1461756882000
000003,1461756884000
000003,1461756875000
000003,1461756886000
000003,1461756877000
000003,1461756888000
000003,1461756879000
000003,1461756880000

000003,1461756891000
000003,1461756892000
